check_id,label,category_id,category_name,raw_value,normalized,tool,deduplicated,timestamp,environment_label,runtime_seconds
checking_file_c_windows_system32_drivers_vboxguest_sys,Checking file C:\Windows\System32\drivers\VBoxGuest.sys,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_drivers_vboxsf_sys,Checking file C:\Windows\System32\drivers\VBoxSF.sys,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_drivers_vboxvideo_sys,Checking file C:\Windows\System32\drivers\VBoxVideo.sys,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxdisp_dll,Checking file C:\Windows\System32\vboxdisp.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxhook_dll,Checking file C:\Windows\System32\vboxhook.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxmrxnp_dll,Checking file C:\Windows\System32\vboxmrxnp.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxogl_dll,Checking file C:\Windows\System32\vboxogl.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxoglarrayspu_dll,Checking file C:\Windows\System32\vboxoglarrayspu.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxoglcrutil_dll,Checking file C:\Windows\System32\vboxoglcrutil.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxoglerrorspu_dll,Checking file C:\Windows\System32\vboxoglerrorspu.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
